ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
12484400,2017 Toyota RAV4 GX (2WD) ZSA42R MY17,24990,Toyota,RAV4,GX (2WD),ZSA42R MY17,2017,119716,Wagon,Automatic,Unleaded Petrol, Used,1987,Black,5
12688502,2019 Toyota RAV4 GXL 2WD Hybrid Axah52R,50990,Toyota,RAV4,GXL 2WD Hybrid,Axah52R,2019,17400,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Metallic,5
12689632,2017 Toyota RAV4 GX (4X4) ASA44R MY17,29500,Toyota,RAV4,GX (4X4),ASA44R MY17,2017,95290,Wagon,Automatic,Unleaded Petrol, Used,2494,Burgundy,5
12691274,2016 Toyota RAV4 GX (2WD) ZSA42R MY16,23490,Toyota,RAV4,GX (2WD),ZSA42R MY16,2016,117421,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12692719,2018 Toyota RAV4 GX (2WD) ZSA42R MY18,28790,Toyota,RAV4,GX (2WD),ZSA42R MY18,2018,110236,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12693290,2008 Toyota RAV4 SX6 GSA33R 08 Upgrade,17990,Toyota,RAV4,SX6,GSA33R 08 Upgrade,2008,211445,Wagon,Automatic,Unleaded Petrol, Used,3456,Silver,5
12693770,2020 Toyota RAV4 GX 2WD Hybrid Axah52R,47990,Toyota,RAV4,GX 2WD Hybrid,Axah52R,2020,15926,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,White,5
12695089,2017 Toyota RAV4 GX (4X4) ASA44R MY17,29888,Toyota,RAV4,GX (4X4),ASA44R MY17,2017,74651,Wagon,Automatic,Unleaded Petrol, Used,2494,White,5
12699193,2020 Toyota RAV4 Cruiser (2WD) Mxaa52R,44999,Toyota,RAV4,Cruiser (2WD),Mxaa52R,2020,45306,Wagon,Automatic,Unleaded Petrol, Used,1987,Red,5
12700782,2019 Toyota RAV4 Cruiser AWD Hybrid Axah54R,54995,Toyota,RAV4,Cruiser AWD Hybrid,Axah54R,2019,88063,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,White,5
12701494,2018 Toyota RAV4 GX (2WD) ZSA42R MY18,26990,Toyota,RAV4,GX (2WD),ZSA42R MY18,2018,136582,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12701698,2019 Toyota RAV4 GX (2WD) Mxaa52R,37880,Toyota,RAV4,GX (2WD),Mxaa52R,2019,31000,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12701747,2018 Toyota RAV4 GXL (4X4) ASA44R MY18,38990,Toyota,RAV4,GXL (4X4),ASA44R MY18,2018,83105,Wagon,Automatic,Unleaded Petrol, Used,2494,Red,5
12702618,2017 Toyota RAV4 GX (4X4) ASA44R MY17,23990,Toyota,RAV4,GX (4X4),ASA44R MY17,2017,184528,Wagon,Automatic,Unleaded Petrol, Used,2494,White,5
12703058,2013 Toyota RAV4 GX (4X4) ALA49R,21800,Toyota,RAV4,GX (4X4),ALA49R,2013,122273,Wagon,Automatic,Diesel, Used,2231,Grey,5
12705556,2013 Toyota RAV4 GX (2WD) ZSA42R,20880,Toyota,RAV4,GX (2WD),ZSA42R,2013,102000,Wagon,Manual,Unleaded Petrol, Used,1987,White,5
12705991,2017 Toyota RAV4 GXL (4X4) ALA49R MY18,32500,Toyota,RAV4,GXL (4X4),ALA49R MY18,2017,107987,Wagon,Automatic,Diesel, Used,2231,White,5
12707471,2021 Toyota RAV4 Cruiser (2WD) Hybrid Axah52R,62000,Toyota,RAV4,Cruiser (2WD) Hybrid,Axah52R,2021,24700,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Atomic,5
12707687,2022 Toyota RAV4 XSE (awd) Hybrid Axah54R,67888,Toyota,RAV4,XSE (awd) Hybrid,Axah54R,2022,2827,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Blue,5
12708141,2006 Toyota RAV4 Cruiser (4X4) ACA33R,11990,Toyota,RAV4,Cruiser (4X4),ACA33R,2006,223400,Wagon,Manual,Unleaded Petrol, Used,2362,White,5
12710597,2017 Toyota RAV4 GX (2WD) ZSA42R MY17,24990,Toyota,RAV4,GX (2WD),ZSA42R MY17,2017,91627,Wagon,Automatic,Unleaded Petrol, Used,1987,Brown,5
12711000,2016 Toyota RAV4 Cruiser (4X4) ASA44R MY16,35999,Toyota,RAV4,Cruiser (4X4),ASA44R MY16,2016,41228,Wagon,Automatic,Unleaded Petrol, Used,2494,White,5
12712449,2022 Toyota RAV4 GX (2WD) Hybrid Axah52R,60000,Toyota,RAV4,GX (2WD) Hybrid,Axah52R,2022,54,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,White,5
12715781,2014 Toyota RAV4 GX (2WD) ZSA42R,23900,Toyota,RAV4,GX (2WD),ZSA42R,2014,82000,Wagon,Automatic,Unleaded Petrol, Used,1987,white,5
12716783,2020 Toyota RAV4 GXL 2WD Hybrid Axah52R,53990,Toyota,RAV4,GXL 2WD Hybrid,Axah52R,2020,17640,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Red,5
12717735,2021 Toyota RAV4 Cruiser (2WD) Mxaa52R,51000,Toyota,RAV4,Cruiser (2WD),Mxaa52R,2021,23000,Wagon,Automatic,Unleaded Petrol, Used,1987,Blue,5
12718159,2020 Toyota RAV4 Cruiser AWD Hybrid Axah54R,59000,Toyota,RAV4,Cruiser AWD Hybrid,Axah54R,2020,33000,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,White,5
12719480,2020 Toyota RAV4 GXL (2WD) Hybrid Axah52R,52990,Toyota,RAV4,GXL (2WD) Hybrid,Axah52R,2020,18786,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Grey,5
12720020,2015 Toyota RAV4 GX (4X4) ASA44R MY14 Upgrade,27995,Toyota,RAV4,GX (4X4),ASA44R MY14 Upgrade,2015,95781,Wagon,Automatic,Unleaded Petrol, Used,2494,White,5
12721918,2021 Toyota RAV4 Cruiser (2WD) Mxaa52R,52988,Toyota,RAV4,Cruiser (2WD),Mxaa52R,2021,7461,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12723395,2006 Toyota RAV4 Cruiser L (4X4) ACA33R,12990,Toyota,RAV4,Cruiser L (4X4),ACA33R,2006,219643,Wagon,Automatic,Unleaded Petrol, Used,2362,White,5
12723804,2018 Toyota RAV4 GXL (4X4) ASA44R MY18,36990,Toyota,RAV4,GXL (4X4),ASA44R MY18,2018,74311,Wagon,Automatic,Unleaded Petrol, Used,2494,Brown,5
12724112,2014 Toyota RAV4 GXL (4X4) ASA44R MY14 Upgrade,31300,Toyota,RAV4,GXL (4X4),ASA44R MY14 Upgrade,2014,80665,Wagon,Automatic,Unleaded Petrol, Used,2494,Silver,5
12725207,2018 Toyota RAV4 GXL (2WD) ZSA42R MY18,39990,Toyota,RAV4,GXL (2WD),ZSA42R MY18,2018,19251,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12725880,2017 Toyota RAV4 GX (4X4) ALA49R MY17,32990,Toyota,RAV4,GX (4X4),ALA49R MY17,2017,119120,Wagon,Automatic,Diesel, Used,2231,White,5
12726253,2022 Toyota RAV4 XSE (awd) Hybrid Axah54R,67888,Toyota,RAV4,XSE (awd) Hybrid,Axah54R,2022,5114,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Blue,5
12728924,2016 Toyota RAV4 Cruiser (4X4) ASA44R MY16,39987,Toyota,RAV4,Cruiser (4X4),ASA44R MY16,2016,67291,Wagon,Automatic,Unleaded Petrol, Used,2494,Red,5
12729452,2021 Toyota RAV4 Cruiser (2WD) Mxaa52R,51490,Toyota,RAV4,Cruiser (2WD),Mxaa52R,2021,8768,Wagon,Automatic,Unleaded Petrol, Used,1987,Silver,5
12729805,2018 Toyota RAV4 GXL (2WD) ZSA42R MY18,32990,Toyota,RAV4,GXL (2WD),ZSA42R MY18,2018,96605,Wagon,Automatic,Unleaded Petrol, Used,1987,Grey,5
12730991,2018 Toyota RAV4 GX (4X4) ASA44R MY18,30990,Toyota,RAV4,GX (4X4),ASA44R MY18,2018,113185,Wagon,Automatic,Unleaded Petrol, Used,2494,White,5
12731801,2018 Toyota RAV4 GXL (2WD) ZSA42R MY18,36950,Toyota,RAV4,GXL (2WD),ZSA42R MY18,2018,51250,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12734516,2017 Toyota RAV4 GXL (2WD) ZSA42R MY17,37987,Toyota,RAV4,GXL (2WD),ZSA42R MY17,2017,64384,Wagon,Automatic,Unleaded Petrol, Used,1987,Black,5
12734585,2019 Toyota RAV4 GXL (2WD) Mxaa52R,36992,Toyota,RAV4,GXL (2WD),Mxaa52R,2019,63739,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12736915,2021 Toyota RAV4 Edge (awd) Axaa54R,56990,Toyota,RAV4,Edge (awd),Axaa54R,2021,23509,Wagon,Automatic,Unleaded Petrol, Used,2487,Red,5
12736966,2022 Toyota RAV4 GXL (awd) Hybrid Axah54R,62888,Toyota,RAV4,GXL (awd) Hybrid,Axah54R,2022,55,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Silver,5
12738353,2014 Toyota RAV4 GX (4X4) ALA49R,21000,Toyota,RAV4,GX (4X4),ALA49R,2014,167000,Wagon,Automatic,Diesel, Used,2231,White,5
12738714,2014 Toyota RAV4 GXL (4X4) ASA44R MY14 Upgrade,23867,Toyota,RAV4,GXL (4X4),ASA44R MY14 Upgrade,2014,105730,Wagon,Automatic,Unleaded Petrol, Used,2494,Silver,5
12740613,2016 Toyota RAV4 GX (4X4) ASA44R MY16,29888,Toyota,RAV4,GX (4X4),ASA44R MY16,2016,91057,Wagon,Automatic,Unleaded Petrol, Used,2494,White,5
12740748,2020 Toyota RAV4 Cruiser 2WD Hybrid Axah52R,57490,Toyota,RAV4,Cruiser 2WD Hybrid,Axah52R,2020,19393,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Silver,5
12742350,2020 Toyota RAV4 Cruiser 2WD Hybrid Axah52R,60990,Toyota,RAV4,Cruiser 2WD Hybrid,Axah52R,2020,21727,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Blue,5
12742793,2017 Toyota RAV4 GX (4X4) ASA44R MY17,24900,Toyota,RAV4,GX (4X4),ASA44R MY17,2017,89000,Wagon,Automatic,Unleaded Petrol, Used,2494,Red,5
12744906,2019 Toyota RAV4 GX (2WD) Mxaa52R,36990,Toyota,RAV4,GX (2WD),Mxaa52R,2019,117712,Wagon,Automatic,Unleaded Petrol, Used,1987,Grey,5
12745107,2018 Toyota RAV4 GX (2WD) ZSA42R MY18,27990,Toyota,RAV4,GX (2WD),ZSA42R MY18,2018,114960,Wagon,Automatic,Unleaded Petrol, Used,1987,Silver,5
12745621,2019 Toyota RAV4 Cruiser 2WD Hybrid Axah52R,56990,Toyota,RAV4,Cruiser 2WD Hybrid,Axah52R,2019,25547,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,White,5
12746490,2018 Toyota RAV4 GX (2WD) ZSA42R MY18,31990,Toyota,RAV4,GX (2WD),ZSA42R MY18,2018,58137,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12748321,2021 Toyota RAV4 Cruiser (2WD) Mxaa52R,53990,Toyota,RAV4,Cruiser (2WD),Mxaa52R,2021,15970,Wagon,Automatic,Unleaded Petrol, Used,1987,Silver,5
12750902,2020 Toyota RAV4 Cruiser (awd) Hybrid Axah54R,59990,Toyota,RAV4,Cruiser (awd) Hybrid,Axah54R,2020,42735,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Black,5
12751058,2002 Toyota RAV4 Edge (4X4) ACA20R,6300,Toyota,RAV4,Edge (4X4),ACA20R,2002,269500,Wagon,Manual,Unleaded Petrol, Used,1998,Black,4
12751286,2018 Toyota RAV4 GX (2WD) ZSA42R MY18,28990,Toyota,RAV4,GX (2WD),ZSA42R MY18,2018,68188,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12752054,2019 Toyota RAV4 GX (2WD) Mxaa52R,36990,Toyota,RAV4,GX (2WD),Mxaa52R,2019,44046,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12752408,2020 Toyota RAV4 Cruiser (2WD) Mxaa52R,47488,Toyota,RAV4,Cruiser (2WD),Mxaa52R,2020,26457,Wagon,Automatic,Unleaded Petrol, Used,1987,Blue,5
12752543,2020 Toyota RAV4 GX (2WD) Mxaa52R,41888,Toyota,RAV4,GX (2WD),Mxaa52R,2020,62417,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12753831,2019 Toyota RAV4 GX AWD Hybrid Axah54R,54995,Toyota,RAV4,GX AWD Hybrid,Axah54R,2019,44773,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Red,5
12754768,2020 Toyota RAV4 Cruiser AWD Hybrid Axah54R,57000,Toyota,RAV4,Cruiser AWD Hybrid,Axah54R,2020,36000,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,pearl,5
12757349,2020 Toyota RAV4 GX 2WD Hybrid Axah52R,41987,Toyota,RAV4,GX 2WD Hybrid,Axah52R,2020,120826,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Silver,5
12757391,2017 Toyota RAV4 GX (4X4) ASA44R MY17,26450,Toyota,RAV4,GX (4X4),ASA44R MY17,2017,129059,Wagon,Automatic,Unleaded Petrol, Used,2494,Blue,5
12757442,2019 Toyota RAV4 GXL (2WD) Mxaa52R,42990,Toyota,RAV4,GXL (2WD),Mxaa52R,2019,47749,Wagon,Automatic,Unleaded Petrol, Used,1987,Black,5
12757444,2013 Toyota RAV4 GX (4X4) ALA49R,19990,Toyota,RAV4,GX (4X4),ALA49R,2013,170954,Wagon,Automatic,Diesel, Used,2231,Black,5
12757464,2005 Toyota RAV4 CV (4X4) ACA23R,7600,Toyota,RAV4,CV (4X4),ACA23R,2005,185646,Wagon,Automatic,Unleaded Petrol, Used,2362,Silver,5
12758772,2017 Toyota RAV4 GXL (2WD) ZSA42R MY17,29990,Toyota,RAV4,GXL (2WD),ZSA42R MY17,2017,124996,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12758838,2020 Toyota RAV4 GXL (2WD) Mxaa52R,44990,Toyota,RAV4,GXL (2WD),Mxaa52R,2020,14524,Wagon,Automatic,Unleaded Petrol, Used,1987,Black,5
12759966,2013 Toyota RAV4 GX (2WD) ZSA42R,18999,Toyota,RAV4,GX (2WD),ZSA42R,2013,134455,Wagon,Automatic,Unleaded Petrol, Used,1987,Silver,5
